Iteration,Current job deadline,Added intervals,Added length,Job considered
104,313,"[311, 313)",2,J104
105,317,"[316, 317)",1,J105
106,317,"[315, 316)",1,J106
107,324,"[319, 324)",5,J107
108,325,none,0,J108
109,329,"[326, 329)",3,J110
110,331,none,0,J109
111,333,"[331, 333)",2,J111
112,337,"[335, 337)",2,J112
113,340,"[339, 340)",1,J113
114,341,none,0,J114
115,347,"[343, 347)",4,J115
116,349,none,0,J116
117,353,"[351, 353)",2,J118
118,354,"[349, 351); [353, 354)",3,J117
119,361,"[357, 361)",4,J119
120,361,none,0,J120
121,363,"[362, 363)",1,J121
122,365,"[363, 365)",2,J122
123,370,"[369, 370)",1,J123
124,373,"[371, 373)",2,J124
125,377,"[374, 377)",3,J125
126,377,none,0,J126
127,384,"[379, 384)",5,J127
128,385,none,0,J128
129,389,"[387, 389)",2,J130
130,391,none,0,J129
131,393,"[391, 393)",2,J131
132,397,"[395, 397)",2,J132
133,400,"[399, 400)",1,J133
134,401,"[398, 399); [400, 401)",2,J134
135,407,"[405, 407)",2,J135
136,409,"[408, 409)",1,J136
137,413,"[412, 413)",1,J138
138,414,"[409, 412); [413, 414)",4,J137
139,421,"[417, 421)",4,J139
140,421,none,0,J140
141,423,"[422, 423)",1,J141
142,425,"[424, 425)",1,J142
143,430,"[429, 430)",1,J143
144,433,"[431, 433)",2,J144
145,437,"[436, 437)",1,J145
146,437,"[434, 436)",2,J146
147,444,"[439, 444)",5,J147
148,445,none,0,J148
149,449,"[448, 449)",1,J150
150,451,none,0,J149
151,453,"[451, 453)",2,J151
152,457,"[455, 457)",2,J152
153,460,"[459, 460)",1,J153
154,461,"[460, 461)",1,J154
155,467,"[463, 467)",4,J155
156,469,none,0,J156
157,473,"[470, 473)",3,J158
158,474,"[469, 470); [473, 474)",2,J157
159,481,"[477, 481)",4,J159
160,481,none,0,J160
161,483,"[482, 483)",1,J161
162,485,none,0,J162
163,490,"[489, 490)",1,J163
164,493,"[491, 493)",2,J164
165,497,"[494, 497)",3,J165
166,497,none,0,J166
167,504,"[499, 504)",5,J167
168,505,none,0,J168
169,509,"[506, 509)",3,J170
170,511,none,0,J169
171,513,"[511, 513)",2,J171
172,517,"[515, 517)",2,J172
173,520,"[519, 520)",1,J173
174,521,none,0,J174
175,527,"[525, 527)",2,J175
176,529,"[528, 529)",1,J176
177,533,"[531, 533)",2,J178
178,534,"[529, 531); [533, 534)",3,J177
179,541,"[537, 541)",4,J179
180,541,none,0,J180
181,543,"[542, 543)",1,J181
182,545,"[543, 545)",2,J182
183,550,"[549, 550)",1,J183
184,553,"[551, 553)",2,J184
185,557,"[556, 557)",1,J185
186,557,none,0,J186
187,564,"[559, 564)",5,J187
188,565,none,0,J188
189,569,"[567, 569)",2,J190
190,571,none,0,J189
191,573,"[571, 573)",2,J191
192,577,"[575, 577)",2,J192
193,580,"[579, 580)",1,J193
194,581,"[578, 579); [580, 581)",2,J194
195,587,"[583, 587)",4,J195
196,589,none,0,J196
197,593,"[592, 593)",1,J198
198,594,"[589, 592); [593, 594)",4,J197
199,601,"[597, 601)",4,J199
200,601,none,0,J200
201,603,"[602, 603)",1,J201
202,605,"[604, 605)",1,J202
203,610,"[609, 610)",1,J203
204,613,"[611, 613)",2,J204
205,617,"[614, 617)",3,J205
206,617,none,0,J206
207,624,"[619, 624)",5,J207
208,625,none,0,J208
209,629,"[628, 629)",1,J210
210,631,none,0,J209
211,633,"[631, 633)",2,J211
212,637,"[635, 637)",2,J212
213,640,"[639, 640)",1,J213
214,641,"[640, 641)",1,J214
215,647,"[645, 647)",2,J215
216,649,"[648, 649)",1,J216
217,653,"[650, 653)",3,J218
218,654,"[649, 650); [653, 654)",2,J217
219,661,"[657, 661)",4,J219
220,661,none,0,J220
221,663,"[662, 663)",1,J221
222,665,none,0,J222
223,670,"[669, 670)",1,J223
224,673,"[671, 673)",2,J224
225,677,"[676, 677)",1,J225
226,677,"[675, 676)",1,J226
227,684,"[679, 684)",5,J227
228,685,none,0,J228
229,689,"[686, 689)",3,J230
230,691,none,0,J229
231,693,"[691, 693)",2,J231
232,697,"[695, 697)",2,J232
233,700,"[699, 700)",1,J233
234,701,none,0,J234
235,707,"[703, 707)",4,J235
236,709,none,0,J236
237,713,"[711, 713)",2,J238
238,714,"[709, 711); [713, 714)",3,J237
239,721,"[717, 721)",4,J239
240,721,none,0,J240
241,723,"[722, 723)",1,J241
242,725,"[723, 725)",2,J242
243,730,"[729, 730)",1,J243
244,733,"[731, 733)",2,J244
245,737,"[734, 737)",3,J245
246,737,none,0,J246
247,744,"[739, 744)",5,J247
248,745,none,0,J248
249,749,"[747, 749)",2,J250
250,751,none,0,J249
251,753,"[751, 753)",2,J251
252,757,"[755, 757)",2,J252
253,760,"[759, 760)",1,J253
254,761,"[758, 759); [760, 761)",2,J254
255,767,"[765, 767)",2,J255
256,769,"[768, 769)",1,J256
257,773,"[772, 773)",1,J258
258,774,"[769, 772); [773, 774)",4,J257
259,781,"[777, 781)",4,J259
260,781,none,0,J260
261,783,"[782, 783)",1,J261
262,785,"[784, 785)",1,J262
263,790,"[789, 790)",1,J263
264,793,"[791, 793)",2,J264
265,797,"[796, 797)",1,J265
266,797,"[794, 796)",2,J266
267,804,"[799, 804)",5,J267
268,805,none,0,J268
269,809,"[808, 809)",1,J270
270,811,none,0,J269
271,813,"[811, 813)",2,J271
272,817,"[815, 817)",2,J272
273,820,"[819, 820)",1,J273
274,821,"[820, 821)",1,J274
275,827,"[823, 827)",4,J275
276,829,none,0,J276
277,833,"[830, 833)",3,J278
278,834,"[829, 830); [833, 834)",2,J277
279,841,"[837, 841)",4,J279
280,841,none,0,J280
281,843,"[842, 843)",1,J281
282,845,none,0,J282
283,850,"[849, 850)",1,J283
284,853,"[851, 853)",2,J284
285,857,"[854, 857)",3,J285
286,857,none,0,J286
287,864,"[859, 864)",5,J287
288,865,none,0,J288
289,869,"[866, 869)",3,J290
290,871,none,0,J289
291,873,"[871, 873)",2,J291
292,877,"[875, 877)",2,J292
293,880,"[879, 880)",1,J293
294,881,none,0,J294
295,887,"[885, 887)",2,J295
296,889,"[888, 889)",1,J296
297,893,"[891, 893)",2,J298
298,894,"[889, 891); [893, 894)",3,J297
299,901,"[897, 901)",4,J299
300,901,none,0,J300
301,903,"[902, 903)",1,J301
302,905,"[903, 905)",2,J302
303,910,"[909, 910)",1,J303
304,913,"[911, 913)",2,J304
305,917,"[916, 917)",1,J305
306,917,none,0,J306
307,924,"[919, 924)",5,J307
308,925,none,0,J308
309,929,"[927, 929)",2,J310
310,931,none,0,J309
311,933,"[931, 933)",2,J311
312,937,"[935, 937)",2,J312
313,940,"[939, 940)",1,J313
314,941,"[938, 939); [940, 941)",2,J314
315,947,"[943, 947)",4,J315
316,949,none,0,J316
317,953,"[952, 953)",1,J318
318,954,"[949, 952); [953, 954)",4,J317
319,961,"[957, 961)",4,J319
320,961,none,0,J320
321,963,"[962, 963)",1,J321
322,965,"[964, 965)",1,J322
323,970,"[969, 970)",1,J323
324,973,"[971, 973)",2,J324
325,977,"[974, 977)",3,J325
326,977,none,0,J326
327,984,"[979, 984)",5,J327
328,985,none,0,J328
329,989,"[988, 989)",1,J330
330,991,none,0,J329
331,993,"[991, 993)",2,J331
332,997,"[995, 997)",2,J332
333,1000,"[999, 1000)",1,J333
334,1001,"[1000, 1001)",1,J334
335,1007,"[1005, 1007)",2,J335
336,1009,"[1008, 1009)",1,J336
337,1013,"[1010, 1013)",3,J338
338,1014,"[1009, 1010); [1013, 1014)",2,J337
339,1021,"[1017, 1021)",4,J339
340,1021,none,0,J340
341,1023,"[1022, 1023)",1,J341
342,1025,none,0,J342
343,1030,"[1029, 1030)",1,J343
344,1033,"[1031, 1033)",2,J344
345,1037,"[1036, 1037)",1,J345
346,1037,"[1035, 1036)",1,J346
347,1044,"[1039, 1044)",5,J347
348,1045,none,0,J348
349,1049,"[1046, 1049)",3,J350
350,1051,none,0,J349
351,1053,"[1051, 1053)",2,J351
352,1057,"[1055, 1057)",2,J352
353,1060,"[1059, 1060)",1,J353
354,1061,none,0,J354
355,1067,"[1063, 1067)",4,J355
356,1069,none,0,J356
357,1073,"[1071, 1073)",2,J358
358,1074,"[1069, 1071); [1073, 1074)",3,J357
359,1081,"[1077, 1081)",4,J359
360,1081,none,0,J360
361,1083,"[1082, 1083)",1,J361
362,1085,"[1083, 1085)",2,J362
363,1090,"[1089, 1090)",1,J363
364,1093,"[1091, 1093)",2,J364
365,1097,"[1094, 1097)",3,J365
366,1097,none,0,J366
367,1104,"[1099, 1104)",5,J367
368,1105,none,0,J368
369,1109,"[1107, 1109)",2,J370
370,1111,none,0,J369
371,1113,"[1111, 1113)",2,J371
372,1117,"[1115, 1117)",2,J372
373,1120,"[1119, 1120)",1,J373
374,1121,"[1118, 1119); [1120, 1121)",2,J374
375,1127,"[1125, 1127)",2,J375
376,1129,"[1128, 1129)",1,J376
377,1133,"[1132, 1133)",1,J378
378,1134,"[1129, 1132); [1133, 1134)",4,J377
379,1141,"[1137, 1141)",4,J379
380,1141,none,0,J380
381,1143,"[1142, 1143)",1,J381
382,1145,"[1144, 1145)",1,J382
383,1150,"[1149, 1150)",1,J383
384,1153,"[1151, 1153)",2,J384
385,1157,"[1156, 1157)",1,J385
386,1157,"[1154, 1156)",2,J386
387,1164,"[1159, 1164)",5,J387
388,1165,none,0,J388
389,1169,"[1168, 1169)",1,J390
390,1171,none,0,J389
391,1173,"[1171, 1173)",2,J391
392,1177,"[1175, 1177)",2,J392
393,1180,"[1179, 1180)",1,J393
394,1181,"[1180, 1181)",1,J394
395,1187,"[1183, 1187)",4,J395
396,1189,none,0,J396
397,1193,"[1190, 1193)",3,J398
398,1194,"[1189, 1190); [1193, 1194)",2,J397
399,1201,"[1197, 1201)",4,J399
400,1201,none,0,J400
401,1203,"[1202, 1203)",1,J401
402,1205,none,0,J402
403,1210,"[1209, 1210)",1,J403
404,1213,"[1211, 1213)",2,J404
405,1217,"[1214, 1217)",3,J405
406,1217,none,0,J406
407,1224,"[1219, 1224)",5,J407
408,1225,none,0,J408
409,1229,"[1226, 1229)",3,J410
410,1231,none,0,J409
411,1233,"[1231, 1233)",2,J411
412,1237,"[1235, 1237)",2,J412
413,1240,"[1239, 1240)",1,J413
414,1241,none,0,J414
415,1247,"[1245, 1247)",2,J415
416,1249,"[1248, 1249)",1,J416
417,1253,"[1251, 1253)",2,J418
418,1254,"[1249, 1251); [1253, 1254)",3,J417
419,1261,"[1257, 1261)",4,J419
420,1261,none,0,J420
421,1263,"[1262, 1263)",1,J421
422,1265,"[1263, 1265)",2,J422
423,1270,"[1269, 1270)",1,J423
424,1273,"[1271, 1273)",2,J424
425,1277,"[1276, 1277)",1,J425
426,1277,none,0,J426
427,1284,"[1279, 1284)",5,J427
428,1285,none,0,J428
429,1289,"[1287, 1289)",2,J430
430,1291,none,0,J429
431,1293,"[1291, 1293)",2,J431
432,1297,"[1295, 1297)",2,J432
433,1300,"[1299, 1300)",1,J433
434,1301,"[1298, 1299); [1300, 1301)",2,J434
435,1307,"[1303, 1307)",4,J435
436,1309,none,0,J436
437,1313,"[1312, 1313)",1,J438
438,1314,"[1309, 1312); [1313, 1314)",4,J437
439,1321,"[1317, 1321)",4,J439
440,1321,none,0,J440
441,1323,"[1322, 1323)",1,J441
442,1325,"[1324, 1325)",1,J442
443,1330,"[1329, 1330)",1,J443
444,1333,"[1331, 1333)",2,J444
445,1337,"[1334, 1337)",3,J445
446,1337,none,0,J446
447,1344,"[1339, 1344)",5,J447
448,1345,none,0,J448
449,1349,"[1348, 1349)",1,J450
450,1351,none,0,J449
451,1353,"[1351, 1353)",2,J451
452,1357,"[1355, 1357)",2,J452
453,1360,"[1359, 1360)",1,J453
454,1361,"[1360, 1361)",1,J454
455,1367,"[1365, 1367)",2,J455
456,1369,"[1368, 1369)",1,J456
457,1373,"[1370, 1373)",3,J458
458,1374,"[1369, 1370); [1373, 1374)",2,J457
459,1381,"[1377, 1381)",4,J459
460,1381,none,0,J460
461,1383,"[1382, 1383)",1,J461
462,1385,none,0,J462
463,1390,"[1389, 1390)",1,J463
464,1393,"[1391, 1393)",2,J464
465,1397,"[1396, 1397)",1,J465
466,1397,"[1395, 1396)",1,J466
467,1404,"[1399, 1404)",5,J467
468,1405,none,0,J468
469,1409,"[1406, 1409)",3,J470
470,1411,none,0,J469
471,1413,"[1411, 1413)",2,J471
472,1417,"[1415, 1417)",2,J472
473,1420,"[1419, 1420)",1,J473
474,1421,none,0,J474
475,1427,"[1423, 1427)",4,J475
476,1429,none,0,J476
477,1433,"[1431, 1433)",2,J478
478,1434,"[1429, 1431); [1433, 1434)",3,J477
479,1441,"[1437, 1441)",4,J479
480,1441,none,0,J480
481,1443,"[1442, 1443)",1,J481
482,1445,"[1443, 1445)",2,J482
483,1450,"[1449, 1450)",1,J483
484,1453,"[1451, 1453)",2,J484
485,1457,"[1454, 1457)",3,J485
486,1457,none,0,J486
487,1464,"[1459, 1464)",5,J487
488,1465,none,0,J488
489,1469,"[1467, 1469)",2,J490
490,1471,none,0,J489
491,1473,"[1471, 1473)",2,J491
492,1477,"[1475, 1477)",2,J492
493,1480,"[1479, 1480)",1,J493
494,1481,"[1478, 1479); [1480, 1481)",2,J494
495,1487,"[1485, 1487)",2,J495
496,1489,"[1488, 1489)",1,J496
497,1493,"[1492, 1493)",1,J498
498,1494,"[1489, 1492); [1493, 1494)",4,J497
499,1501,"[1497, 1501)",4,J499
500,1501,none,0,J500
501,1503,"[1502, 1503)",1,J501
502,1505,"[1504, 1505)",1,J502
503,1510,"[1509, 1510)",1,J503
504,1513,"[1511, 1513)",2,J504
505,1517,"[1516, 1517)",1,J505
506,1517,"[1514, 1516)",2,J506
507,1524,"[1519, 1524)",5,J507
508,1525,none,0,J508
509,1529,"[1528, 1529)",1,J510
510,1531,none,0,J509
511,1533,"[1531, 1533)",2,J511
512,1537,"[1535, 1537)",2,J512
513,1540,"[1539, 1540)",1,J513
514,1541,"[1540, 1541)",1,J514
515,1547,"[1543, 1547)",4,J515
516,1549,none,0,J516
517,1553,"[1550, 1553)",3,J518
518,1554,"[1549, 1550); [1553, 1554)",2,J517
519,1561,"[1557, 1561)",4,J519
520,1561,none,0,J520
521,1563,"[1562, 1563)",1,J521
522,1565,none,0,J522
523,1570,"[1569, 1570)",1,J523
524,1573,"[1571, 1573)",2,J524
525,1577,"[1574, 1577)",3,J525
526,1577,none,0,J526
527,1584,"[1579, 1584)",5,J527
528,1585,none,0,J528
529,1589,"[1586, 1589)",3,J530
530,1591,none,0,J529
531,1593,"[1591, 1593)",2,J531
532,1597,"[1595, 1597)",2,J532
533,1600,"[1599, 1600)",1,J533
534,1601,none,0,J534
535,1607,"[1605, 1607)",2,J535
536,1609,"[1608, 1609)",1,J536
537,1613,"[1611, 1613)",2,J538
538,1614,"[1609, 1611); [1613, 1614)",3,J537
539,1621,"[1617, 1621)",4,J539
540,1621,none,0,J540
541,1623,"[1622, 1623)",1,J541
542,1625,"[1623, 1625)",2,J542
543,1630,"[1629, 1630)",1,J543
544,1633,"[1631, 1633)",2,J544
545,1637,"[1636, 1637)",1,J545
546,1637,none,0,J546
547,1644,"[1639, 1644)",5,J547
548,1645,none,0,J548
549,1649,"[1647, 1649)",2,J550
550,1651,none,0,J549
551,1653,"[1651, 1653)",2,J551
552,1657,"[1655, 1657)",2,J552
553,1660,"[1659, 1660)",1,J553
554,1661,"[1658, 1659); [1660, 1661)",2,J554
555,1667,"[1663, 1667)",4,J555
556,1669,none,0,J556
557,1673,"[1672, 1673)",1,J558
558,1674,"[1669, 1672); [1673, 1674)",4,J557
559,1681,"[1677, 1681)",4,J559
560,1681,none,0,J560
561,1683,"[1682, 1683)",1,J561
562,1685,"[1684, 1685)",1,J562
563,1690,"[1689, 1690)",1,J563
564,1693,"[1691, 1693)",2,J564
565,1697,"[1694, 1697)",3,J565
566,1697,none,0,J566
567,1704,"[1699, 1704)",5,J567
568,1705,none,0,J568
569,1709,"[1708, 1709)",1,J570
570,1711,none,0,J569
571,1713,"[1711, 1713)",2,J571
572,1717,"[1715, 1717)",2,J572
573,1720,"[1719, 1720)",1,J573
574,1721,"[1720, 1721)",1,J574
575,1727,"[1725, 1727)",2,J575
576,1729,"[1728, 1729)",1,J576
577,1733,"[1730, 1733)",3,J578
578,1734,"[1729, 1730); [1733, 1734)",2,J577
579,1741,"[1737, 1741)",4,J579
580,1741,none,0,J580
581,1743,"[1742, 1743)",1,J581
582,1745,none,0,J582
583,1750,"[1749, 1750)",1,J583
584,1753,"[1751, 1753)",2,J584
585,1757,"[1756, 1757)",1,J585
586,1757,"[1755, 1756)",1,J586
587,1764,"[1759, 1764)",5,J587
588,1765,none,0,J588
589,1769,"[1766, 1769)",3,J590
590,1771,none,0,J589
591,1773,"[1771, 1773)",2,J591
592,1777,"[1775, 1777)",2,J592
593,1780,"[1779, 1780)",1,J593
594,1781,none,0,J594
595,1787,"[1783, 1787)",4,J595
596,1789,none,0,J596
597,1793,"[1791, 1793)",2,J598
598,1794,"[1789, 1791); [1793, 1794)",3,J597
599,1801,"[1797, 1801)",4,J599
600,1801,none,0,J600
601,1803,"[1802, 1803)",1,J601
602,1805,"[1803, 1805)",2,J602
603,1810,"[1809, 1810)",1,J603
604,1813,"[1811, 1813)",2,J604
605,1817,"[1814, 1817)",3,J605
606,1817,none,0,J606
607,1824,"[1819, 1824)",5,J607
608,1825,none,0,J608
609,1829,"[1827, 1829)",2,J610
610,1831,none,0,J609
611,1833,"[1831, 1833)",2,J611
612,1837,"[1835, 1837)",2,J612
613,1840,"[1839, 1840)",1,J613
614,1841,"[1838, 1839); [1840, 1841)",2,J614
615,1847,"[1845, 1847)",2,J615
616,1849,"[1848, 1849)",1,J616
617,1853,"[1852, 1853)",1,J618
618,1854,"[1849, 1852); [1853, 1854)",4,J617
619,1861,"[1857, 1861)",4,J619
620,1861,none,0,J620
621,1863,"[1862, 1863)",1,J621
622,1865,"[1864, 1865)",1,J622
623,1870,"[1869, 1870)",1,J623
624,1873,"[1871, 1873)",2,J624
625,1877,"[1876, 1877)",1,J625
626,1877,"[1874, 1876)",2,J626
627,1884,"[1879, 1884)",5,J627
628,1885,none,0,J628
629,1889,"[1888, 1889)",1,J630
630,1891,none,0,J629
631,1893,"[1891, 1893)",2,J631
632,1897,"[1895, 1897)",2,J632
633,1900,"[1899, 1900)",1,J633
634,1901,"[1900, 1901)",1,J634
635,1907,"[1903, 1907)",4,J635
636,1909,none,0,J636
637,1913,"[1910, 1913)",3,J638
638,1914,"[1909, 1910); [1913, 1914)",2,J637
639,1921,"[1917, 1921)",4,J639
640,1921,none,0,J640
641,1923,"[1922, 1923)",1,J641
642,1925,none,0,J642
643,1930,"[1929, 1930)",1,J643
644,1933,"[1931, 1933)",2,J644
645,1937,"[1934, 1937)",3,J645
646,1937,none,0,J646
647,1944,"[1939, 1944)",5,J647
648,1945,none,0,J648
649,1949,"[1946, 1949)",3,J650
650,1951,none,0,J649
651,1953,"[1951, 1953)",2,J651
652,1957,"[1955, 1957)",2,J652
653,1960,"[1959, 1960)",1,J653
654,1961,none,0,J654
655,1967,"[1965, 1967)",2,J655
656,1969,"[1968, 1969)",1,J656
657,1973,"[1971, 1973)",2,J658
658,1974,"[1969, 1971); [1973, 1974)",3,J657
659,1981,"[1977, 1981)",4,J659
660,1981,none,0,J660
661,1983,"[1982, 1983)",1,J661
662,1985,"[1983, 1985)",2,J662
663,1990,"[1989, 1990)",1,J663
664,1993,"[1991, 1993)",2,J664
665,1997,"[1996, 1997)",1,J665
666,1997,none,0,J666
667,2004,"[1999, 2004)",5,J667
668,2005,none,0,J668
669,2009,"[2007, 2009)",2,J670
670,2011,none,0,J669
671,2013,"[2011, 2013)",2,J671
672,2017,"[2015, 2017)",2,J672
673,2020,"[2019, 2020)",1,J673
674,2021,"[2018, 2019); [2020, 2021)",2,J674
675,2027,"[2023, 2027)",4,J675
676,2029,none,0,J676
677,2033,"[2032, 2033)",1,J678
678,2034,"[2029, 2032); [2033, 2034)",4,J677
679,2041,"[2037, 2041)",4,J679
680,2041,none,0,J680
681,2043,"[2042, 2043)",1,J681
682,2045,"[2044, 2045)",1,J682
683,2050,"[2049, 2050)",1,J683
684,2053,"[2051, 2053)",2,J684
685,2057,"[2054, 2057)",3,J685
686,2057,none,0,J686
687,2064,"[2059, 2064)",5,J687
688,2065,none,0,J688
689,2069,"[2068, 2069)",1,J690
690,2071,none,0,J689
691,2073,"[2071, 2073)",2,J691
692,2077,"[2075, 2077)",2,J692
693,2080,"[2079, 2080)",1,J693
694,2081,"[2080, 2081)",1,J694
695,2087,"[2085, 2087)",2,J695
696,2089,"[2088, 2089)",1,J696
697,2093,"[2090, 2093)",3,J698
698,2094,"[2089, 2090); [2093, 2094)",2,J697
699,2101,"[2097, 2101)",4,J699
700,2101,none,0,J700
701,2103,"[2102, 2103)",1,J701
702,2105,none,0,J702
703,2110,"[2109, 2110)",1,J703
704,2113,"[2111, 2113)",2,J704
705,2117,"[2116, 2117)",1,J705
706,2117,"[2115, 2116)",1,J706
707,2124,"[2119, 2124)",5,J707
708,2125,none,0,J708
709,2129,"[2126, 2129)",3,J710
710,2131,none,0,J709
711,2133,"[2131, 2133)",2,J711
712,2137,"[2135, 2137)",2,J712
713,2140,"[2139, 2140)",1,J713
714,2141,none,0,J714
715,2147,"[2143, 2147)",4,J715
716,2149,none,0,J716
717,2153,"[2151, 2153)",2,J718
718,2154,"[2149, 2151); [2153, 2154)",3,J717
719,2161,"[2157, 2161)",4,J719
720,2161,none,0,J720
721,2163,"[2162, 2163)",1,J721
722,2165,"[2163, 2165)",2,J722
723,2170,"[2169, 2170)",1,J723
724,2173,"[2171, 2173)",2,J724
725,2177,"[2174, 2177)",3,J725
726,2177,none,0,J726
727,2184,"[2179, 2184)",5,J727
728,2185,none,0,J728
729,2189,"[2187, 2189)",2,J730
730,2191,none,0,J729
731,2193,"[2191, 2193)",2,J731
732,2197,"[2195, 2197)",2,J732
733,2200,"[2199, 2200)",1,J733
734,2201,"[2198, 2199); [2200, 2201)",2,J734
735,2207,"[2205, 2207)",2,J735
736,2209,"[2208, 2209)",1,J736
737,2213,"[2212, 2213)",1,J738
738,2214,"[2209, 2212); [2213, 2214)",4,J737
739,2221,"[2217, 2221)",4,J739
740,2221,none,0,J740
741,2223,"[2222, 2223)",1,J741
742,2225,"[2224, 2225)",1,J742
743,2230,"[2229, 2230)",1,J743
744,2233,"[2231, 2233)",2,J744
745,2237,"[2236, 2237)",1,J745
746,2237,"[2234, 2236)",2,J746
747,2244,"[2239, 2244)",5,J747
748,2245,none,0,J748
749,2249,"[2248, 2249)",1,J750
750,2251,none,0,J749
751,2253,"[2251, 2253)",2,J751
752,2257,"[2255, 2257)",2,J752
753,2260,"[2259, 2260)",1,J753
754,2261,"[2260, 2261)",1,J754
755,2267,"[2263, 2267)",4,J755
756,2269,none,0,J756
757,2273,"[2270, 2273)",3,J758
758,2274,"[2269, 2270); [2273, 2274)",2,J757
759,2281,"[2277, 2281)",4,J759
760,2281,none,0,J760
761,2283,"[2282, 2283)",1,J761
762,2285,none,0,J762
763,2290,"[2289, 2290)",1,J763
764,2293,"[2291, 2293)",2,J764
765,2297,"[2294, 2297)",3,J765
766,2297,none,0,J766
767,2304,"[2299, 2304)",5,J767
768,2305,none,0,J768
769,2309,"[2306, 2309)",3,J770
770,2311,none,0,J769
771,2313,"[2311, 2313)",2,J771
772,2317,"[2315, 2317)",2,J772
773,2320,"[2319, 2320)",1,J773
774,2321,none,0,J774
775,2327,"[2325, 2327)",2,J775
776,2329,"[2328, 2329)",1,J776
777,2333,"[2331, 2333)",2,J778
778,2334,"[2329, 2331); [2333, 2334)",3,J777
779,2341,"[2337, 2341)",4,J779
780,2341,none,0,J780
781,2343,"[2342, 2343)",1,J781
782,2345,"[2343, 2345)",2,J782
783,2350,"[2349, 2350)",1,J783
784,2353,"[2351, 2353)",2,J784
785,2357,"[2356, 2357)",1,J785
786,2357,none,0,J786
787,2364,"[2359, 2364)",5,J787
788,2365,none,0,J788
789,2369,"[2367, 2369)",2,J790
790,2371,none,0,J789
791,2373,"[2371, 2373)",2,J791
792,2377,"[2375, 2377)",2,J792
793,2380,"[2379, 2380)",1,J793
794,2381,"[2378, 2379); [2380, 2381)",2,J794
795,2387,"[2383, 2387)",4,J795
796,2389,none,0,J796
