Interval,Start,End,Length
Interval 105,506,509,3
Interval 106,511,513,2
Interval 107,515,517,2
Interval 108,519,520,1
Interval 109,525,527,2
Interval 110,528,534,6
Interval 111,537,541,4
Interval 112,542,545,3
Interval 113,549,550,1
Interval 114,551,553,2
Interval 115,556,557,1
Interval 116,559,564,5
Interval 117,567,569,2
Interval 118,571,573,2
Interval 119,575,577,2
Interval 120,578,581,3
Interval 121,583,587,4
Interval 122,589,594,5
Interval 123,597,601,4
Interval 124,602,603,1
Interval 125,604,605,1
Interval 126,609,610,1
Interval 127,611,613,2
Interval 128,614,617,3
Interval 129,619,624,5
Interval 130,628,629,1
Interval 131,631,633,2
Interval 132,635,637,2
Interval 133,639,641,2
Interval 134,645,647,2
Interval 135,648,654,6
Interval 136,657,661,4
Interval 137,662,663,1
Interval 138,669,670,1
Interval 139,671,673,2
Interval 140,675,677,2
Interval 141,679,684,5
Interval 142,686,689,3
Interval 143,691,693,2
Interval 144,695,697,2
Interval 145,699,700,1
Interval 146,703,707,4
Interval 147,709,714,5
Interval 148,717,721,4
Interval 149,722,725,3
Interval 150,729,730,1
Interval 151,731,733,2
Interval 152,734,737,3
Interval 153,739,744,5
Interval 154,747,749,2
Interval 155,751,753,2
Interval 156,755,757,2
Interval 157,758,761,3
Interval 158,765,767,2
Interval 159,768,774,6
Interval 160,777,781,4
Interval 161,782,783,1
Interval 162,784,785,1
Interval 163,789,790,1
Interval 164,791,793,2
Interval 165,794,797,3
Interval 166,799,804,5
Interval 167,808,809,1
Interval 168,811,813,2
Interval 169,815,817,2
Interval 170,819,821,2
Interval 171,823,827,4
Interval 172,829,834,5
Interval 173,837,841,4
Interval 174,842,843,1
Interval 175,849,850,1
Interval 176,851,853,2
Interval 177,854,857,3
Interval 178,859,864,5
Interval 179,866,869,3
Interval 180,871,873,2
Interval 181,875,877,2
Interval 182,879,880,1
Interval 183,885,887,2
Interval 184,888,894,6
Interval 185,897,901,4
Interval 186,902,905,3
Interval 187,909,910,1
Interval 188,911,913,2
Interval 189,916,917,1
Interval 190,919,924,5
Interval 191,927,929,2
Interval 192,931,933,2
Interval 193,935,937,2
Interval 194,938,941,3
Interval 195,943,947,4
Interval 196,949,954,5
Interval 197,957,961,4
Interval 198,962,963,1
Interval 199,964,965,1
Interval 200,969,970,1
Interval 201,971,973,2
Interval 202,974,977,3
Interval 203,979,984,5
Interval 204,988,989,1
Interval 205,991,993,2
Interval 206,995,997,2
Interval 207,999,1001,2
Interval 208,1005,1007,2
Interval 209,1008,1014,6
Interval 210,1017,1021,4
Interval 211,1022,1023,1
Interval 212,1029,1030,1
Interval 213,1031,1033,2
Interval 214,1035,1037,2
Interval 215,1039,1044,5
Interval 216,1046,1049,3
Interval 217,1051,1053,2
Interval 218,1055,1057,2
Interval 219,1059,1060,1
Interval 220,1063,1067,4
Interval 221,1069,1074,5
Interval 222,1077,1081,4
Interval 223,1082,1085,3
Interval 224,1089,1090,1
Interval 225,1091,1093,2
Interval 226,1094,1097,3
Interval 227,1099,1104,5
Interval 228,1107,1109,2
Interval 229,1111,1113,2
Interval 230,1115,1117,2
Interval 231,1118,1121,3
Interval 232,1125,1127,2
Interval 233,1128,1134,6
Interval 234,1137,1141,4
Interval 235,1142,1143,1
Interval 236,1144,1145,1
Interval 237,1149,1150,1
Interval 238,1151,1153,2
Interval 239,1154,1157,3
Interval 240,1159,1164,5
Interval 241,1168,1169,1
Interval 242,1171,1173,2
Interval 243,1175,1177,2
Interval 244,1179,1181,2
Interval 245,1183,1187,4
Interval 246,1189,1194,5
Interval 247,1197,1201,4
Interval 248,1202,1203,1
Interval 249,1209,1210,1
Interval 250,1211,1213,2
Interval 251,1214,1217,3
Interval 252,1219,1224,5
Interval 253,1226,1229,3
Interval 254,1231,1233,2
Interval 255,1235,1237,2
Interval 256,1239,1240,1
Interval 257,1245,1247,2
Interval 258,1248,1254,6
Interval 259,1257,1261,4
Interval 260,1262,1265,3
Interval 261,1269,1270,1
Interval 262,1271,1273,2
Interval 263,1276,1277,1
Interval 264,1279,1284,5
Interval 265,1287,1289,2
Interval 266,1291,1293,2
Interval 267,1295,1297,2
Interval 268,1298,1301,3
Interval 269,1303,1307,4
Interval 270,1309,1314,5
Interval 271,1317,1321,4
Interval 272,1322,1323,1
Interval 273,1324,1325,1
Interval 274,1329,1330,1
Interval 275,1331,1333,2
Interval 276,1334,1337,3
Interval 277,1339,1344,5
Interval 278,1348,1349,1
Interval 279,1351,1353,2
Interval 280,1355,1357,2
Interval 281,1359,1361,2
Interval 282,1365,1367,2
Interval 283,1368,1374,6
Interval 284,1377,1381,4
Interval 285,1382,1383,1
Interval 286,1389,1390,1
Interval 287,1391,1393,2
Interval 288,1395,1397,2
Interval 289,1399,1404,5
Interval 290,1406,1409,3
Interval 291,1411,1413,2
Interval 292,1415,1417,2
Interval 293,1419,1420,1
Interval 294,1423,1427,4
Interval 295,1429,1434,5
Interval 296,1437,1441,4
Interval 297,1442,1445,3
Interval 298,1449,1450,1
Interval 299,1451,1453,2
Interval 300,1454,1457,3
Interval 301,1459,1464,5
Interval 302,1467,1469,2
Interval 303,1471,1473,2
Interval 304,1475,1477,2
Interval 305,1478,1481,3
Interval 306,1485,1487,2
Interval 307,1488,1494,6
Interval 308,1497,1501,4
Interval 309,1502,1503,1
Interval 310,1504,1505,1
Interval 311,1509,1510,1
Interval 312,1511,1513,2
Interval 313,1514,1517,3
Interval 314,1519,1524,5
Interval 315,1528,1529,1
Interval 316,1531,1533,2
Interval 317,1535,1537,2
Interval 318,1539,1541,2
Interval 319,1543,1547,4
Interval 320,1549,1554,5
Interval 321,1557,1561,4
Interval 322,1562,1563,1
Interval 323,1569,1570,1
Interval 324,1571,1573,2
Interval 325,1574,1577,3
Interval 326,1579,1584,5
Interval 327,1586,1589,3
Interval 328,1591,1593,2
Interval 329,1595,1597,2
Interval 330,1599,1600,1
Interval 331,1605,1607,2
Interval 332,1608,1614,6
Interval 333,1617,1621,4
Interval 334,1622,1625,3
Interval 335,1629,1630,1
Interval 336,1631,1633,2
Interval 337,1636,1637,1
Interval 338,1639,1644,5
Interval 339,1647,1649,2
Interval 340,1651,1653,2
Interval 341,1655,1657,2
Interval 342,1658,1661,3
Interval 343,1663,1667,4
Interval 344,1669,1674,5
Interval 345,1677,1681,4
Interval 346,1682,1683,1
Interval 347,1684,1685,1
Interval 348,1689,1690,1
Interval 349,1691,1693,2
Interval 350,1694,1697,3
Interval 351,1699,1704,5
Interval 352,1708,1709,1
Interval 353,1711,1713,2
Interval 354,1715,1717,2
Interval 355,1719,1721,2
Interval 356,1725,1727,2
Interval 357,1728,1734,6
Interval 358,1737,1741,4
Interval 359,1742,1743,1
Interval 360,1749,1750,1
Interval 361,1751,1753,2
Interval 362,1755,1757,2
Interval 363,1759,1764,5
Interval 364,1766,1769,3
Interval 365,1771,1773,2
Interval 366,1775,1777,2
Interval 367,1779,1780,1
Interval 368,1783,1787,4
Interval 369,1789,1794,5
Interval 370,1797,1801,4
Interval 371,1802,1805,3
Interval 372,1809,1810,1
Interval 373,1811,1813,2
Interval 374,1814,1817,3
Interval 375,1819,1824,5
Interval 376,1827,1829,2
Interval 377,1831,1833,2
Interval 378,1835,1837,2
Interval 379,1838,1841,3
Interval 380,1845,1847,2
Interval 381,1848,1854,6
Interval 382,1857,1861,4
Interval 383,1862,1863,1
Interval 384,1864,1865,1
Interval 385,1869,1870,1
Interval 386,1871,1873,2
Interval 387,1874,1877,3
Interval 388,1879,1884,5
Interval 389,1888,1889,1
Interval 390,1891,1893,2
Interval 391,1895,1897,2
Interval 392,1899,1901,2
Interval 393,1903,1907,4
Interval 394,1909,1914,5
Interval 395,1917,1921,4
Interval 396,1922,1923,1
Interval 397,1929,1930,1
Interval 398,1931,1933,2
Interval 399,1934,1937,3
Interval 400,1939,1944,5
Interval 401,1946,1949,3
Interval 402,1951,1953,2
Interval 403,1955,1957,2
Interval 404,1959,1960,1
Interval 405,1965,1967,2
Interval 406,1968,1974,6
Interval 407,1977,1981,4
Interval 408,1982,1985,3
Interval 409,1989,1990,1
Interval 410,1991,1993,2
Interval 411,1996,1997,1
Interval 412,1999,2004,5
Interval 413,2007,2009,2
Interval 414,2011,2013,2
Interval 415,2015,2017,2
Interval 416,2018,2021,3
Interval 417,2023,2027,4
Interval 418,2029,2034,5
Interval 419,2037,2041,4
Interval 420,2042,2043,1
Interval 421,2044,2045,1
Interval 422,2049,2050,1
Interval 423,2051,2053,2
Interval 424,2054,2057,3
Interval 425,2059,2064,5
Interval 426,2068,2069,1
Interval 427,2071,2073,2
Interval 428,2075,2077,2
Interval 429,2079,2081,2
Interval 430,2085,2087,2
Interval 431,2088,2094,6
Interval 432,2097,2101,4
Interval 433,2102,2103,1
Interval 434,2109,2110,1
Interval 435,2111,2113,2
Interval 436,2115,2117,2
Interval 437,2119,2124,5
Interval 438,2126,2129,3
Interval 439,2131,2133,2
Interval 440,2135,2137,2
Interval 441,2139,2140,1
Interval 442,2143,2147,4
Interval 443,2149,2154,5
Interval 444,2157,2161,4
Interval 445,2162,2165,3
Interval 446,2169,2170,1
Interval 447,2171,2173,2
Interval 448,2174,2177,3
Interval 449,2179,2184,5
Interval 450,2187,2189,2
Interval 451,2191,2193,2
Interval 452,2195,2197,2
Interval 453,2198,2201,3
Interval 454,2205,2207,2
Interval 455,2208,2214,6
Interval 456,2217,2221,4
Interval 457,2222,2223,1
Interval 458,2224,2225,1
Interval 459,2229,2230,1
Interval 460,2231,2233,2
Interval 461,2234,2237,3
Interval 462,2239,2244,5
Interval 463,2248,2249,1
Interval 464,2251,2253,2
Interval 465,2255,2257,2
Interval 466,2259,2261,2
Interval 467,2263,2267,4
Interval 468,2269,2274,5
Interval 469,2277,2281,4
Interval 470,2282,2283,1
Interval 471,2289,2290,1
Interval 472,2291,2293,2
Interval 473,2294,2297,3
Interval 474,2299,2304,5
Interval 475,2306,2309,3
Interval 476,2311,2313,2
Interval 477,2315,2317,2
Interval 478,2319,2320,1
Interval 479,2325,2327,2
Interval 480,2328,2334,6
Interval 481,2337,2341,4
Interval 482,2342,2345,3
Interval 483,2349,2350,1
Interval 484,2351,2353,2
Interval 485,2356,2357,1
Interval 486,2359,2364,5
Interval 487,2367,2369,2
Interval 488,2371,2373,2
Interval 489,2375,2377,2
Interval 490,2378,2381,3
Interval 491,2383,2387,4
Interval 492,2389,2394,5
Interval 493,2397,2401,4
Interval 494,2402,2403,1
Interval 495,2404,2405,1
Interval 496,2409,2410,1
Interval 497,2411,2413,2
Interval 498,2414,2417,3
Interval 499,2419,2424,5
Interval 500,2428,2429,1
Interval 501,2431,2433,2
Interval 502,2435,2437,2
Interval 503,2439,2441,2
Interval 504,2445,2447,2
Interval 505,2448,2454,6
Interval 506,2457,2461,4
Interval 507,2462,2463,1
Interval 508,2469,2470,1
Interval 509,2471,2473,2
Interval 510,2475,2477,2
Interval 511,2479,2484,5
Interval 512,2486,2489,3
Interval 513,2491,2493,2
Interval 514,2495,2497,2
Interval 515,2499,2500,1
Interval 516,2503,2507,4
Interval 517,2509,2514,5
Interval 518,2517,2521,4
Interval 519,2522,2525,3
Interval 520,2529,2530,1
Interval 521,2531,2533,2
Interval 522,2534,2537,3
Interval 523,2539,2544,5
Interval 524,2547,2549,2
Interval 525,2551,2553,2
Interval 526,2555,2557,2
Interval 527,2558,2561,3
Interval 528,2565,2567,2
Interval 529,2568,2574,6
Interval 530,2577,2581,4
Interval 531,2582,2583,1
Interval 532,2584,2585,1
Interval 533,2589,2590,1
Interval 534,2591,2593,2
Interval 535,2594,2597,3
Interval 536,2599,2604,5
Interval 537,2608,2609,1
Interval 538,2611,2613,2
Interval 539,2615,2617,2
Interval 540,2619,2621,2
Interval 541,2623,2627,4
Interval 542,2629,2634,5
Interval 543,2637,2641,4
Interval 544,2642,2643,1
Interval 545,2649,2650,1
Interval 546,2651,2653,2
Interval 547,2654,2657,3
Interval 548,2659,2664,5
Interval 549,2666,2669,3
Interval 550,2671,2673,2
Interval 551,2675,2677,2
Interval 552,2679,2680,1
Interval 553,2685,2687,2
Interval 554,2688,2694,6
Interval 555,2697,2701,4
Interval 556,2702,2705,3
Interval 557,2709,2710,1
Interval 558,2711,2713,2
Interval 559,2716,2717,1
Interval 560,2719,2724,5
Interval 561,2727,2729,2
Interval 562,2731,2733,2
Interval 563,2735,2737,2
Interval 564,2738,2741,3
Interval 565,2743,2747,4
Interval 566,2749,2754,5
Interval 567,2757,2761,4
Interval 568,2762,2763,1
Interval 569,2764,2765,1
Interval 570,2769,2770,1
Interval 571,2771,2773,2
Interval 572,2774,2777,3
Interval 573,2779,2784,5
Interval 574,2788,2789,1
Interval 575,2791,2793,2
Interval 576,2795,2797,2
Interval 577,2799,2801,2
Interval 578,2805,2807,2
Interval 579,2808,2814,6
Interval 580,2817,2821,4
Interval 581,2822,2823,1
Interval 582,2829,2830,1
Interval 583,2831,2833,2
Interval 584,2835,2837,2
Interval 585,2839,2844,5
Interval 586,2846,2849,3
Interval 587,2851,2853,2
Interval 588,2855,2857,2
Interval 589,2859,2860,1
Interval 590,2863,2867,4
Interval 591,2869,2874,5
Interval 592,2877,2881,4
Interval 593,2882,2885,3
Interval 594,2889,2890,1
Interval 595,2891,2893,2
Interval 596,2894,2897,3
Interval 597,2899,2904,5
Interval 598,2907,2909,2
Interval 599,2911,2913,2
Interval 600,2915,2917,2
Interval 601,2918,2921,3
Interval 602,2925,2927,2
Interval 603,2928,2934,6
Interval 604,2937,2941,4
Interval 605,2942,2943,1
Interval 606,2944,2945,1
Interval 607,2949,2950,1
Interval 608,2951,2953,2
Interval 609,2954,2957,3
Interval 610,2959,2964,5
Interval 611,2968,2969,1
Interval 612,2971,2973,2
Interval 613,2975,2977,2
Interval 614,2979,2981,2
Interval 615,2983,2987,4
Interval 616,2989,2994,5
Interval 617,2997,3001,4
