Job,Start,End,Length
J954,126,220,94
J955,170,220,50
J956,133,220,87
J957,177,220,43
J958,140,220,80
J959,184,220,36
J96,120,220,100
J960,147,220,73
J961,191,220,29
J962,154,220,66
J963,198,220,22
J964,161,220,59
J965,124,220,96
J966,168,220,52
J967,131,220,89
J968,175,220,45
J969,138,220,82
J97,164,220,56
J970,182,220,38
J971,145,220,75
J972,189,220,31
J973,152,220,68
J974,196,220,24
J975,159,220,61
J976,122,220,98
J977,166,220,54
J978,129,220,91
J979,173,220,47
J98,127,220,93
J980,136,220,84
J981,180,220,40
J982,143,220,77
J983,187,220,33
J984,150,220,70
J985,194,220,26
J986,157,220,63
J987,120,220,100
J988,164,220,56
J989,127,220,93
J99,171,220,49
J990,171,220,49
J991,134,220,86
J992,178,220,42
J993,141,220,79
J994,185,220,35
J995,148,220,72
J996,192,220,28
J997,155,220,65
J998,199,220,21
J999,162,220,58
